Scenario,Perturbation,PSNR_mean,SSIM_mean,LPIPS_mean,TLPIPS_mean,TempConsistency_mean
bus,grow_3px,8.8454,0.4447,0.5067,0.1563,10.6104
bus,grow_7px,9.3588,0.4638,0.4934,0.1542,10.498
bus,original,8.3265,0.432,0.5135,0.1577,10.0789
bus,shift_10px,8.5678,0.4352,0.5116,0.1571,9.9043
bus,shift_5px,8.445,0.4329,0.5134,0.1574,10.0343
bus,shrink_3px,8.1504,0.4134,0.532,0.1596,9.5375
bus,shrink_7px,8.0992,0.3787,0.5658,0.1622,9.3098
car-roundabout,grow_3px,9.7999,0.2868,0.5409,0.1946,18.1572
car-roundabout,grow_7px,10.1184,0.3197,0.5257,0.186,17.7397
car-roundabout,original,9.5815,0.2643,0.5577,0.198,18.333
car-roundabout,shift_10px,9.8762,0.2703,0.5474,0.1956,18.2491
car-roundabout,shift_5px,9.7161,0.2659,0.5531,0.1964,18.3265
car-roundabout,shrink_3px,9.6525,0.2441,0.5637,0.2044,18.4958
car-roundabout,shrink_7px,9.848,0.2201,0.5694,0.2081,18.7524
car-shadow,grow_3px,9.8383,0.3519,0.5996,0.1553,11.7762
car-shadow,grow_7px,10.3059,0.3979,0.5741,0.1473,11.4783
car-shadow,original,9.4735,0.3196,0.6175,0.1655,11.8165
car-shadow,shift_10px,9.6858,0.3255,0.6126,0.1651,11.6241
car-shadow,shift_5px,9.5878,0.3246,0.6164,0.1648,11.8934
car-shadow,shrink_3px,9.3067,0.2808,0.6441,0.1771,11.7944
car-shadow,shrink_7px,9.1841,0.2491,0.6596,0.1869,11.7299
car-turn,grow_3px,10.2638,0.3077,0.6619,0.1318,9.8231
car-turn,grow_7px,10.6956,0.3438,0.6393,0.1271,9.4793
car-turn,original,9.9353,0.2847,0.6758,0.1342,9.9409
car-turn,shift_10px,10.2304,0.2963,0.6727,0.1337,9.7747
car-turn,shift_5px,10.0591,0.287,0.6758,0.1324,9.912
car-turn,shrink_3px,9.877,0.2649,0.6902,0.138,9.9974
car-turn,shrink_7px,9.8948,0.2426,0.7155,0.1434,10.0218
classic-car,grow_3px,9.3189,0.4757,0.5194,0.3949,17.8392
classic-car,grow_7px,9.4581,0.4822,0.5131,0.3966,18.4852
classic-car,original,9.213,0.4709,0.5243,0.3934,17.3049
classic-car,shift_10px,9.3147,0.4719,0.5229,0.3945,17.438
classic-car,shift_5px,9.2612,0.4713,0.5245,0.3943,17.3686
classic-car,shrink_3px,9.2286,0.4662,0.5294,0.3937,16.7658
classic-car,shrink_7px,9.2722,0.4598,0.5347,0.3922,16.165
crossing,grow_3px,10.6214,0.4709,0.4767,0.0881,8.8046
crossing,grow_7px,11.3054,0.4976,0.4679,0.0876,8.2534
crossing,original,10.0492,0.4553,0.4818,0.09,8.9993
crossing,shift_10px,10.5089,0.4671,0.4792,0.0891,8.8402
crossing,shift_5px,10.2805,0.4586,0.4808,0.0897,8.9567
crossing,shrink_3px,9.936,0.4454,0.4869,0.0898,9.1831
crossing,shrink_7px,9.5222,0.4189,0.4998,0.0906,9.5546
drift-chicane,grow_3px,16.8936,0.3437,0.6555,0.1446,7.7229
drift-chicane,grow_7px,17.7622,0.432,0.5979,0.143,7.1355
drift-chicane,original,16.2267,0.2831,0.6462,0.1494,7.9729
drift-chicane,shift_10px,16.8444,0.3299,0.6415,0.1511,7.3747
drift-chicane,shift_5px,16.54,0.3041,0.6437,0.1504,7.8816
drift-chicane,shrink_3px,16.1442,0.2372,0.6739,0.1502,7.9284
drift-chicane,shrink_7px,16.0852,0.2132,0.7045,0.1432,7.7178
drift-straight,grow_3px,11.28,0.3485,0.5209,0.2615,24.9047
drift-straight,grow_7px,11.7362,0.3965,0.4978,0.2653,24.5759
drift-straight,original,10.9473,0.3167,0.5296,0.2634,25.1301
drift-straight,shift_10px,11.3156,0.3362,0.5195,0.2613,25.043
drift-straight,shift_5px,11.1135,0.3237,0.5231,0.2608,24.9581
drift-straight,shrink_3px,10.9138,0.2922,0.5314,0.2603,25.263
drift-straight,shrink_7px,10.956,0.2681,0.544,0.2558,25.3736
drift-turn,grow_3px,11.8237,0.3191,0.6643,0.2636,15.2742
drift-turn,grow_7px,12.248,0.3639,0.6528,0.2639,15.0055
drift-turn,original,11.517,0.2888,0.6739,0.2702,15.325
drift-turn,shift_10px,11.8202,0.3036,0.6694,0.268,14.9996
drift-turn,shift_5px,11.6689,0.2921,0.6711,0.2699,15.2579
drift-turn,shrink_3px,11.512,0.2627,0.683,0.2683,15.1982
drift-turn,shrink_7px,11.5821,0.2321,0.6921,0.2761,14.8506
night-race,grow_3px,15.314,0.5534,0.2719,0.0635,8.3774
night-race,grow_7px,15.9186,0.5813,0.2686,0.0642,7.7792
night-race,original,14.892,0.5335,0.2764,0.0629,8.7019
night-race,shift_10px,15.1588,0.5413,0.2721,0.0629,8.5398
night-race,shift_5px,15.0073,0.5379,0.2755,0.0617,8.6224
night-race,shrink_3px,14.6776,0.5168,0.2795,0.0612,8.9235
night-race,shrink_7px,14.6279,0.4975,0.291,0.0602,8.8932
rallye,grow_3px,7.4832,0.1839,0.7479,0.2104,13.4555
rallye,grow_7px,8.4534,0.2924,0.7074,0.188,12.6604
rallye,original,6.7795,0.1254,0.7665,0.2344,13.4198
rallye,shift_10px,7.6521,0.1965,0.7563,0.2374,12.6056
rallye,shift_5px,6.9817,0.1377,0.7593,0.2344,13.2566
rallye,shrink_3px,6.671,0.1003,0.7895,0.2615,13.0289
rallye,shrink_7px,7.3377,0.0908,0.8142,0.2837,12.5621
